user_0:2, 8, 5, 1, 10, 5, 9, 9, 3, 5, 6, 6, 2, 8, 2, 2, 6, 3, 8, 7
user_1:2, 5, 3, 4, 3, 3, 2, 7, 9, 6, 8, 7, 2, 9, 10, 3, 8, 10, 6, 5
user_2:4, 2, 3, 4, 4, 5, 2, 2, 4, 9, 8, 5, 3, 8, 8, 10, 4, 2, 10, 9
user_3:7, 6, 1, 3, 9, 7, 1, 3, 5, 9, 7, 6, 1, 10, 1, 1, 7, 2, 4, 9
user_4:10, 4, 5, 5, 7, 1, 7, 7, 2, 9, 5, 10, 7, 4, 8, 9, 9, 3, 10, 2
user_5:4, 6, 10, 9, 5, 1, 8, 7, 4, 7, 2, 6, 5, 3, 1, 10, 8, 4, 8, 3
user_6:7, 1, 2, 7, 6, 8, 6, 5, 2, 3, 1, 1, 2, 5, 7, 1, 8, 2, 8, 8
user_7:8, 8, 4, 4, 6, 10, 10, 9, 2, 9, 3, 7, 7, 1, 4, 9, 1, 2, 3, 6
user_8:1, 10, 5, 8, 9, 4, 6, 2, 3, 1, 2, 7, 5, 1, 7, 2, 9, 10, 9, 5
user_9:2, 5, 4, 10, 9, 9, 1, 9, 8, 8, 9, 4, 9, 4, 8, 2, 1, 8, 4, 5
user_10:10, 7, 6, 2, 1, 10, 10, 7, 9, 4, 5, 9, 5, 10, 10, 3, 6, 6, 4, 4
user_11:4, 8, 5, 4, 9, 1, 9, 9, 1, 7, 9, 2, 10, 9, 10, 8, 3, 3, 9, 3
user_12:9, 10, 1, 8, 9, 2, 6, 9, 7, 2, 3, 5, 3, 6, 9, 7, 3, 7, 6, 4
user_13:10, 3, 5, 7, 2, 9, 3, 2, 2, 10, 8, 7, 3, 10, 6, 3, 1, 1, 4, 10
user_14:2, 9, 2, 10, 6, 4, 3, 6, 3, 6, 9, 7, 8, 8, 3, 3, 10, 5, 2, 10
user_15:7, 10, 9, 3, 6, 6, 5, 10, 2, 3, 6, 1, 9, 4, 10, 4, 10, 7, 8, 10
user_16:10, 8, 7, 10, 4, 6, 8, 7, 7, 6, 9, 3, 6, 5, 5, 2, 7, 2, 7, 4
user_17:4, 6, 6, 4, 3, 9, 3, 6, 4, 7, 2, 9, 7, 3, 2, 5, 7, 3, 10, 2
user_18:6, 1, 4, 7, 5, 10, 3, 10, 4, 5, 5, 1, 6, 10, 7, 4, 5, 3, 9, 9
user_19:8, 6, 9, 2, 3, 6, 8, 5, 5, 5, 5, 5, 3, 10, 4, 1, 8, 8, 9, 8
user_20:4, 1, 4, 9, 3, 6, 3, 1, 4, 8, 3, 10, 8, 6, 4, 5, 4, 3, 2, 2
user_21:4, 3, 6, 4, 6, 2, 3, 3, 3, 7, 5, 1, 8, 1, 4, 5, 1, 1, 6, 4
user_22:2, 1, 7, 8, 6, 1, 1, 5, 6, 5, 10, 6, 7, 5, 9, 3, 2, 7, 9, 4
user_23:2, 5, 9, 5, 10, 3, 1, 8, 1, 7, 1, 8, 1, 6, 7, 8, 4, 9, 5, 10
user_24:3, 7, 6, 8, 8, 5, 6, 8, 10, 9, 4, 1, 3, 3, 4, 7, 8, 2, 6, 6
user_25:5, 1, 3, 7, 1, 7, 2, 2, 2, 8, 4, 1, 1, 5, 9, 4, 1, 2, 3, 10
user_26:1, 4, 9, 9, 6, 8, 8, 1, 9, 10, 4, 1, 8, 5, 8, 9, 4, 8, 2, 1
user_27:1, 9, 4, 5, 6, 1, 2, 5, 6, 7, 3, 1, 4, 6, 7, 7, 7, 8, 7, 8
user_28:8, 2, 10, 2, 7, 3, 8, 3, 8, 7, 6, 2, 4, 10, 10, 6, 10, 3, 7, 6
user_29:4, 3, 5, 5, 5, 3, 8, 10, 3, 4, 8, 4, 2, 6, 8, 9, 6, 9, 4, 3
user_30:5, 2, 2, 6, 10, 6, 2, 1, 7, 5, 6, 4, 1, 9, 10, 2, 4, 5, 8, 5
user_31:7, 4, 7, 6, 3, 9, 2, 1, 4, 2, 6, 6, 3, 3, 2, 8, 5, 9, 3, 4
user_32:7, 4, 1, 4, 6, 3, 9, 1, 8, 3, 3, 6, 10, 2, 1, 9, 6, 1, 8, 10
user_33:1, 6, 4, 5, 2, 1, 5, 9, 6, 10, 3, 6, 5, 2, 4, 10, 6, 9, 3, 8
user_34:10, 7, 2, 8, 8, 2, 10, 1, 4, 5, 2, 8, 6, 4, 4, 3, 5, 2, 3, 10
user_35:1, 9, 8, 5, 6, 7, 9, 1, 8, 8, 5, 4, 2, 4, 7, 4, 1, 2, 10, 1
user_36:5, 3, 10, 4, 2, 5, 9, 3, 1, 6, 6, 10, 4, 3, 9, 8, 5, 9, 2, 5
user_37:4, 6, 6, 3, 7, 9, 10, 3, 10, 6, 10, 5, 6, 1, 6, 9, 9, 1, 2, 4
user_38:3, 3, 3, 8, 1, 4, 2, 4, 4, 8, 1, 10, 6, 6, 9, 4, 8, 9, 4, 8
user_39:10, 4, 10, 2, 9, 3, 9, 1, 2, 9, 5, 9, 7, 1, 10, 4, 1, 1, 9, 8
user_40:7, 4, 6, 7, 6, 9, 4, 10, 5, 9, 4, 10, 8, 7, 5, 6, 9, 7, 2, 6
user_41:6, 2, 10, 7, 5, 6, 5, 3, 6, 4, 3, 7, 9, 3, 7, 7, 4, 10, 5, 6
user_42:7, 3, 6, 4, 6, 7, 7, 2, 5, 5, 7, 3, 7, 9, 3, 6, 6, 2, 1, 2
user_43:6, 2, 8, 7, 1, 1, 3, 5, 4, 4, 7, 3, 9, 3, 4, 5, 4, 5, 4, 7
user_44:9, 5, 8, 4, 10, 9, 1, 1, 9, 9, 1, 6, 2, 5, 4, 7, 4, 10, 3, 2
user_45:10, 9, 3, 4, 5, 1, 3, 4, 2, 10, 9, 10, 9, 10, 2, 4, 6, 2, 5, 3
user_46:6, 4, 9, 10, 3, 9, 8, 1, 2, 5, 9, 2, 10, 4, 6, 10, 8, 10, 9, 1
user_47:2, 5, 8, 6, 6, 6, 1, 10, 3, 9, 3, 5, 6, 1, 5, 5, 1, 6, 2, 2
user_48:6, 10, 1, 9, 4, 9, 8, 3, 7, 10, 4, 9, 2, 1, 4, 4, 9, 5, 9, 1
user_49:2, 6, 5, 2, 4, 8, 4, 6, 9, 6, 7, 10, 1, 9, 10, 4, 7, 1, 7, 10
user_50:8, 9, 10, 5, 2, 6, 7, 7, 7, 7, 7, 8, 2, 5, 1, 7, 2, 3, 2, 5
user_51:10, 6, 3, 4, 5, 2, 6, 3, 4, 2, 7, 9, 9, 3, 8, 8, 2, 3, 7, 1
user_52:5, 10, 5, 7, 1, 4, 7, 3, 5, 6, 9, 9, 2, 3, 2, 5, 10, 9, 3, 5
user_53:6, 3, 10, 10, 9, 4, 9, 7, 10, 9, 7, 7, 3, 4, 9, 3, 7, 3, 8, 6
user_54:8, 9, 3, 8, 9, 1, 3, 1, 9, 10, 3, 9, 3, 1, 6, 6, 3, 8, 7, 8
user_55:9, 8, 9, 2, 7, 1, 10, 6, 9, 10, 1, 1, 1, 8, 3, 6, 6, 3, 2, 5
user_56:9, 7, 5, 7, 9, 10, 9, 4, 6, 6, 2, 6, 6, 9, 5, 1, 6, 5, 8, 3
user_57:2, 5, 10, 10, 1, 4, 1, 4, 6, 1, 8, 7, 8, 9, 4, 7, 5, 5, 2, 10
user_58:6, 6, 8, 5, 8, 4, 5, 1, 9, 9, 2, 6, 3, 4, 3, 5, 7, 7, 7, 3
user_59:10, 1, 5, 10, 4, 2, 2, 10, 10, 6, 6, 6, 7, 1, 6, 10, 5, 7, 4, 5
user_60:10, 1, 6, 4, 10, 2, 3, 9, 9, 2, 9, 7, 1, 3, 5, 10, 1, 3, 3, 2
user_61:6, 5, 5, 5, 3, 6, 1, 5, 3, 2, 3, 8, 8, 10, 6, 6, 5, 1, 4, 5
user_62:2, 3, 3, 10, 9, 3, 3, 8, 9, 6, 9, 4, 10, 5, 5, 7, 10, 9, 6, 7
user_63:7, 1, 8, 3, 8, 3, 7, 5, 8, 2, 4, 3, 2, 7, 4, 9, 4, 3, 9, 7
user_64:1, 2, 3, 7, 1, 6, 5, 7, 8, 10, 4, 5, 8, 9, 9, 2, 7, 4, 9, 8
user_65:7, 2, 8, 3, 4, 8, 9, 6, 9, 6, 9, 8, 4, 4, 2, 1, 9, 2, 1, 10
user_66:3, 5, 10, 2, 6, 8, 4, 4, 5, 3, 3, 1, 2, 3, 8, 8, 1, 3, 5, 2
user_67:1, 4, 8, 4, 10, 6, 10, 8, 3, 1, 3, 9, 7, 8, 1, 9, 2, 9, 4, 1
user_68:4, 7, 3, 1, 3, 9, 5, 2, 9, 4, 8, 6, 9, 2, 8, 1, 5, 9, 9, 2
user_69:4, 7, 8, 9, 10, 6, 6, 6, 7, 7, 4, 1, 1, 9, 9, 3, 4, 1, 7, 6
user_70:1, 10, 8, 3, 3, 9, 3, 10, 5, 5, 9, 3, 8, 3, 6, 9, 5, 8, 4, 10
user_71:6, 2, 10, 1, 3, 9, 4, 2, 5, 4, 2, 1, 5, 1, 8, 10, 1, 9, 2, 5
user_72:1, 8, 10, 6, 4, 9, 3, 4, 3, 2, 1, 5, 1, 8, 6, 10, 1, 6, 2, 3
user_73:1, 10, 9, 10, 2, 8, 4, 4, 1, 8, 7, 7, 1, 3, 9, 10, 9, 10, 10, 10
user_74:5, 3, 1, 9, 8, 9, 8, 4, 1, 8, 7, 5, 3, 2, 10, 2, 7, 1, 4, 4
user_75:7, 3, 3, 2, 5, 4, 3, 7, 1, 6, 5, 10, 7, 1, 9, 3, 8, 5, 1, 8
user_76:7, 1, 2, 3, 10, 4, 9, 6, 2, 6, 7, 7, 9, 9, 10, 9, 8, 1, 8, 10
user_77:2, 6, 9, 7, 4, 10, 5, 6, 4, 9, 3, 4, 10, 5, 9, 6, 2, 4, 3, 9
user_78:2, 7, 5, 7, 8, 8, 10, 7, 5, 2, 10, 3, 7, 4, 2, 6, 10, 8, 1, 3
user_79:7, 2, 8, 7, 3, 6, 4, 5, 1, 8, 6, 6, 4, 2, 9, 9, 9, 1, 2, 8
user_80:6, 1, 6, 10, 1, 10, 4, 6, 5, 3, 8, 3, 7, 8, 3, 3, 1, 2, 2, 8
user_81:6, 10, 2, 9, 2, 8, 9, 7, 7, 10, 10, 3, 7, 7, 6, 9, 5, 1, 4, 8
user_82:9, 4, 2, 2, 3, 6, 8, 7, 3, 2, 7, 2, 2, 6, 8, 5, 9, 6, 7, 5
user_83:10, 9, 5, 4, 3, 6, 4, 9, 4, 3, 8, 1, 7, 9, 1, 2, 2, 10, 6, 4
user_84:7, 4, 2, 6, 4, 5, 1, 4, 2, 8, 10, 1, 4, 6, 3, 10, 2, 3, 7, 2
user_85:8, 1, 2, 6, 3, 3, 10, 1, 6, 2, 9, 4, 7, 9, 9, 7, 2, 7, 7, 8
user_86:1, 5, 10, 9, 10, 5, 10, 9, 8, 6, 7, 5, 9, 7, 9, 8, 9, 1, 10, 6
user_87:7, 10, 1, 1, 2, 4, 6, 6, 9, 1, 2, 8, 8, 5, 7, 8, 1, 8, 5, 2
user_88:3, 2, 9, 4, 6, 8, 2, 5, 8, 7, 9, 3, 4, 1, 3, 8, 9, 9, 6, 10
